NAME,index,X,Y,X-scaled,Y-scaled,label,top_level_cell_type,sub_level_cell_type,dist_to_plaque,dist_to_tau
29261,1,3018,19,905,5,13months-disease-replicate_1,DG,DG,,
29263,2,9698,13,2909,3,13months-disease-replicate_1,Oligo,Oligo1,,
29264,3,12907,21,3872,6,13months-disease-replicate_1,Oligo,Oligo1,,
29265,4,14161,21,4248,6,13months-disease-replicate_1,Oligo,Oligo1,,
29267,5,7888,24,2366,7,13months-disease-replicate_1,Astro,Astro3,,
29268,6,3277,31,983,9,13months-disease-replicate_1,DG,DG,,
29269,7,1767,25,530,7,13months-disease-replicate_1,Endo,Endo1,121.0,
29270,8,13525,32,4057,9,13months-disease-replicate_1,SMC,S4,,
29271,9,9210,26,2763,7,13months-disease-replicate_1,OPC,OPC,,
29272,10,12756,29,3826,8,13months-disease-replicate_1,Micro,Micro1,,
29273,11,18754,32,5626,9,13months-disease-replicate_1,Astro,Astro2,,
29274,12,11672,33,3501,9,13months-disease-replicate_1,Endo,Endo1,,
29275,13,3888,44,1166,13,13months-disease-replicate_1,DG,DG,136.0,20
29276,14,8002,38,2400,11,13months-disease-replicate_1,SMC,S3,,
29277,15,3115,42,934,12,13months-disease-replicate_1,DG,DG,,
29278,16,13605,41,4081,12,13months-disease-replicate_1,SMC,S5,,
29279,17,12055,74,3616,22,13months-disease-replicate_1,CTX-Ex,CTX-Ex2,,
29280,18,8086,75,2425,22,13months-disease-replicate_1,SMC,S3,,
29281,19,9277,50,2783,15,13months-disease-replicate_1,CTX-Ex,CTX-Ex2,,
29282,20,15752,52,4725,15,13months-disease-replicate_1,Oligo,Oligo1,,
29283,21,3440,45,1032,13,13months-disease-replicate_1,DG,DG,,123
29284,22,13006,57,3901,17,13months-disease-replicate_1,Oligo,Oligo1,,
29285,23,10036,52,3010,15,13months-disease-replicate_1,CTX-Ex,CTX-Ex3,,
29286,24,9349,56,2804,16,13months-disease-replicate_1,Oligo,Oligo1,,
29287,25,17551,59,5265,17,13months-disease-replicate_1,Astro,Astro2,,
29288,26,10800,57,3240,17,13months-disease-replicate_1,Oligo,Oligo3,,
29289,27,2498,47,749,14,13months-disease-replicate_1,DG,DG,,
29290,28,3529,53,1058,15,13months-disease-replicate_1,DG,DG,,97
29291,29,10213,56,3063,16,13months-disease-replicate_1,Oligo,Oligo3,,
29292,30,2871,52,861,15,13months-disease-replicate_1,DG,DG,,
29293,31,2752,61,825,18,13months-disease-replicate_1,DG,DG,,
29294,32,2378,55,713,16,13months-disease-replicate_1,DG,DG,,
29295,33,3180,69,954,20,13months-disease-replicate_1,DG,DG,,
29296,34,3019,78,905,23,13months-disease-replicate_1,DG,DG,,
29297,35,13924,101,4177,30,13months-disease-replicate_1,Oligo,Oligo1,,
29298,36,14871,92,4461,27,13months-disease-replicate_1,Oligo,Oligo1,,
29299,37,3378,88,1013,26,13months-disease-replicate_1,DG,DG,,141
29300,38,3250,109,975,32,13months-disease-replicate_1,DG,DG,,
29301,39,7725,105,2317,31,13months-disease-replicate_1,Micro,Micro2,126.0,
29302,40,12687,106,3806,31,13months-disease-replicate_1,Astro,Astro1,,
29303,41,14640,108,4392,32,13months-disease-replicate_1,Oligo,Oligo1,,
29304,42,4309,116,1292,34,13months-disease-replicate_1,Micro,Micro3,36.0,138
29305,43,6993,113,2097,33,13months-disease-replicate_1,Endo,Endo1,107.0,
29306,44,3599,110,1079,33,13months-disease-replicate_1,DG,DG,,75
29307,45,2587,84,776,25,13months-disease-replicate_1,DG,DG,,
29308,46,2413,122,723,36,13months-disease-replicate_1,DG,DG,,
29309,47,12982,123,3894,36,13months-disease-replicate_1,Oligo,Oligo1,,
29310,48,7263,124,2178,37,13months-disease-replicate_1,Micro,Micro3,39.0,
29311,49,10353,133,3105,39,13months-disease-replicate_1,Endo,Endo2,,
29312,50,2952,118,885,35,13months-disease-replicate_1,Micro,Micro2,,
29313,51,10839,133,3251,39,13months-disease-replicate_1,Inh,Lamp5,,174
29314,52,3725,136,1117,40,13months-disease-replicate_1,DG,DG,,38
29315,53,9739,143,2921,42,13months-disease-replicate_1,CTX-Ex,CTX-Ex3,,
29316,54,11757,135,3527,40,13months-disease-replicate_1,CTX-Ex,CTX-Ex3,,
29317,55,2658,111,797,33,13months-disease-replicate_1,DG,DG,,
29318,56,3129,145,938,43,13months-disease-replicate_1,DG,DG,,
